qid,num_rel,num_methods_hit_any,num_methods_hit_all,high_concordance_any,low_concordance_any,k,bge.txt_hit_any,bge.txt_hit_all,bge.txt_rel_in_topk,bge.txt_first_hit_rank,bm25.txt_hit_any,bm25.txt_hit_all,bm25.txt_rel_in_topk,bm25.txt_first_hit_rank,bm25_e5_rerank.txt_hit_any,bm25_e5_rerank.txt_hit_all,bm25_e5_rerank.txt_rel_in_topk,bm25_e5_rerank.txt_first_hit_rank,e5.txt_hit_any,e5.txt_hit_all,e5.txt_rel_in_topk,e5.txt_first_hit_rank,hybrid_rrf_bm25_e5.txt_hit_any,hybrid_rrf_bm25_e5.txt_hit_all,hybrid_rrf_bm25_e5.txt_rel_in_topk,hybrid_rrf_bm25_e5.txt_first_hit_rank
0000b477-e41c-4822-92dc-634f6f57c570,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
000d80a1-2989-4b45-8084-77bc9e08141c,2,5,4,True,False,10,True,True,2,1,True,False,1,1,True,True,2,2,True,True,2,2,True,True,2,1
000d92ba-837b-4b26-8707-67f2eec206c3,2,5,4,True,False,10,True,False,1,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
000e92d6-5122-4dcf-8663-2bc3d0f143fb,2,5,1,True,False,10,True,False,1,5,True,False,1,1,True,False,1,2,True,True,2,2,True,False,1,1
00162da3-4a99-4d57-aebd-8f2f4b7333fc,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
004e7cb0-c616-467a-89e0-ace46c356f09,2,2,1,False,False,10,False,False,0,,True,False,1,1,False,False,0,,False,False,0,,True,True,2,2
009eb4d6-2f4c-4141-bd57-caf4f378e6ef,2,5,1,True,False,10,True,False,1,1,True,False,1,3,True,False,1,1,True,False,1,1,True,True,2,2
0169b104-dc53-4c00-b9fc-86a27e204ce3,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
01ee017b-ce12-40aa-bd3d-07aa3d626aa9,2,5,0,True,False,10,True,False,1,1,True,False,1,1,True,False,1,1,True,False,1,1,True,False,1,1
021229e7-9586-4016-abca-b285e98f5b47,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
0213569c-e9e0-4a4e-b165-816285408457,2,5,2,True,False,10,True,True,2,1,True,False,1,2,True,False,1,1,True,False,1,1,True,True,2,1
02332045-9191-4e37-950a-28751f4a117c,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,3,True,True,2,3,True,True,2,1
026ccc25-d0b3-4a9e-a887-0c2c8dc9dfff,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
0273f326-d7a9-44a9-8bdc-67080dde1ee8,2,5,4,True,False,10,True,True,2,1,True,False,1,1,True,True,2,1,True,True,2,1,True,True,2,1
02becec0-4624-44f9-a536-7ccb978e9599,2,5,2,True,False,10,True,False,1,1,True,True,2,1,True,False,1,1,True,False,1,1,True,True,2,1
02ced45f-5424-4ab0-af8f-9b024f9f51e9,2,5,4,True,False,10,True,True,2,3,True,False,1,1,True,True,2,2,True,True,2,2,True,True,2,1
02d02b93-77a5-47ff-9c21-c3b71a0443fe,2,5,0,True,False,10,True,False,1,1,True,False,1,1,True,False,1,1,True,False,1,1,True,False,1,1
02dffcda-85c0-4247-8f79-bd273918e744,2,5,1,True,False,10,True,False,1,2,True,False,1,1,True,False,1,1,True,False,1,1,True,True,2,1
02fa87fa-259a-454b-9e1f-65e5cdfc664b,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
030ea759-7399-420f-b5f6-24eefdc0932c,2,5,5,True,False,10,True,True,2,2,True,True,2,2,True,True,2,2,True,True,2,2,True,True,2,1
03504bab-00fe-4f6f-a9fa-9aaf7909610f,2,5,3,True,False,10,True,True,2,3,True,True,2,2,True,False,1,6,True,False,1,9,True,True,2,1
0355529c-382c-4e04-9b15-b2d06a743b3d,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
037557bd-6c5d-4732-adc8-7b662d069f0c,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
037daccc-894f-4754-b94a-1bccbb1309c5,2,5,3,True,False,10,True,False,1,6,True,False,1,1,True,True,2,1,True,True,2,1,True,True,2,1
03b52a84-bb87-4654-82b5-5ac5861dfbcf,2,3,2,False,False,10,True,True,2,1,False,False,0,,False,False,0,,True,True,2,1,True,False,1,9
03c22b7e-5c8a-4554-950b-431202db32ae,2,5,4,True,False,10,True,False,1,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
03d8ff18-1019-4fe5-8a15-c475ddfdce50,2,5,4,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,False,1,1,True,True,2,1
03da53a5-2733-4b23-bf5b-0d011418d055,2,5,4,True,False,10,True,False,1,1,True,True,2,2,True,True,2,1,True,True,2,1,True,True,2,1
041042a6-3ed2-41db-882c-ee1f2b029497,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
044a5787-05ee-42c9-a9de-e1001e0704df,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
04730a5c-944c-4250-92aa-3c8e32b459c3,2,5,0,True,False,10,True,False,1,6,True,False,1,2,True,False,1,1,True,False,1,1,True,False,1,1
0480d2cc-5c35-4842-8d8b-6b456b820839,2,5,4,True,False,10,True,True,2,1,True,False,1,1,True,True,2,1,True,True,2,1,True,True,2,1
0498cd44-1507-422c-9e9b-f8c7540f7f42,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
04ce6197-7e69-4dd9-82fc-a1b5c93b19f6,2,5,1,True,False,10,True,False,1,2,True,False,1,2,True,False,1,2,True,False,1,2,True,True,2,1
