qid,num_rel,num_methods_hit_any,num_methods_hit_all,high_concordance_any,low_concordance_any,k,bge.txt_hit_any,bge.txt_hit_all,bge.txt_rel_in_topk,bge.txt_first_hit_rank,bm25.txt_hit_any,bm25.txt_hit_all,bm25.txt_rel_in_topk,bm25.txt_first_hit_rank,bm25_e5_rerank.txt_hit_any,bm25_e5_rerank.txt_hit_all,bm25_e5_rerank.txt_rel_in_topk,bm25_e5_rerank.txt_first_hit_rank,e5.txt_hit_any,e5.txt_hit_all,e5.txt_rel_in_topk,e5.txt_first_hit_rank,hybrid_rrf_bm25_e5.txt_hit_any,hybrid_rrf_bm25_e5.txt_hit_all,hybrid_rrf_bm25_e5.txt_rel_in_topk,hybrid_rrf_bm25_e5.txt_first_hit_rank
00c796ee-3e37-49ce-9585-9b6d944848e2,2,5,1,True,False,10,True,True,2,1,True,False,1,1,True,False,1,1,True,False,1,1,True,False,1,1
041130a2-0202-4f2f-a802-d56abdf1ac92,2,2,0,False,False,10,True,False,1,8,False,False,0,,False,False,0,,False,False,0,,True,False,1,4
0a621351-3052-4e12-922f-b5129eb13ba0,2,5,3,True,False,10,True,True,2,1,True,False,1,2,True,True,2,1,True,True,2,1,True,False,1,1
0cb7548a-5bfe-4b7f-843a-a5799912716e,2,5,0,True,False,10,True,False,1,2,True,False,1,2,True,False,1,4,True,False,1,4,True,False,1,1
0d99f6b5-b07b-4b78-8a9e-20d297c31b1a,2,5,2,True,False,10,True,True,2,1,True,False,1,1,True,False,1,2,True,False,1,3,True,True,2,1
0f31bd74-449c-4f42-8aaa-fd82b756ad2b,2,5,3,True,False,10,True,False,1,3,True,False,1,2,True,True,2,2,True,True,2,2,True,True,2,1
0ffdf70f-b15e-41d5-a10b-0ee0d82bdf1b,2,5,4,True,False,10,True,True,2,1,True,False,1,1,True,True,2,2,True,True,2,2,True,True,2,1
13ffece3-b758-4d94-9835-02fc313cea2e,2,5,0,True,False,10,True,False,1,1,True,False,1,1,True,False,1,1,True,False,1,1,True,False,1,1
19edf5cc-9eaf-4db2-8d92-9e21629bd86c,2,4,3,True,False,10,True,False,1,2,False,False,0,,True,True,2,1,True,True,2,1,True,True,2,1
1b7069ad-fe25-42c8-a459-8c56146ec81f,2,5,0,True,False,10,True,False,1,2,True,False,1,1,True,False,1,2,True,False,1,2,True,False,1,1
1e6c1b61-76a9-473d-ac21-aceb6e692228,2,5,4,True,False,10,True,True,2,1,True,False,1,1,True,True,2,1,True,True,2,1,True,True,2,1
1ef1a370-3cf1-4e2c-b0e6-ea574f918020,2,4,0,True,False,10,True,False,1,3,False,False,0,,True,False,1,8,True,False,1,10,True,False,1,4
23508e67-9337-4335-ac74-2275c9ab27e6,2,5,0,True,False,10,True,False,1,3,True,False,1,1,True,False,1,3,True,False,1,3,True,False,1,1
260079e7-011a-451b-b9a1-a993e0efecc1,2,5,1,True,False,10,True,False,1,1,True,False,1,1,True,False,1,1,True,False,1,1,True,True,2,1
26663949-9db3-413a-adae-340e2b965e73,2,5,4,True,False,10,True,True,2,1,True,False,1,1,True,True,2,1,True,True,2,1,True,True,2,1
267c2067-5601-4884-b830-ad12f565d75c,2,5,1,True,False,10,True,False,1,1,True,False,1,4,True,False,1,1,True,False,1,1,True,True,2,1
282dc7ff-f421-4cca-889c-b4fd94a9b088,2,5,3,True,False,10,True,True,2,1,True,False,1,1,True,True,2,1,True,True,2,1,True,False,1,1
2d79f9ac-d5c8-47b7-b9ef-c2c2b9c0035e,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
2eb3d711-fc98-4983-b34a-a2a2e3eb722b,2,4,3,True,False,10,True,True,2,3,False,False,0,,True,True,2,1,True,False,1,2,True,True,2,1
2eff5bf5-f872-4d25-9b8c-b620ff2ba95d,2,5,5,True,False,10,True,True,2,4,True,True,2,5,True,True,2,1,True,True,2,1,True,True,2,2
2f424d2c-6e5b-4783-ab3f-a99d966da09e,2,4,0,True,False,10,True,False,1,9,True,False,1,4,True,False,1,5,False,False,0,,True,False,1,1
30be6848-bce2-45ef-9581-9ed40c2898b8,2,5,2,True,False,10,True,False,1,1,True,True,2,1,True,False,1,3,True,False,1,3,True,True,2,1
3345507f-b588-435c-82e5-ca5d14e894c1,2,2,0,False,False,10,False,False,0,,False,False,0,,True,False,1,6,False,False,0,,True,False,1,1
375c3089-3145-4488-9cd0-9255c85bb23e,2,5,4,True,False,10,True,True,2,1,True,False,1,1,True,True,2,1,True,True,2,1,True,True,2,1
